region;year;tot_indust
DE418;2010;6366
DE421;2008;3345
DE421;2010;2057
DE422;2008;2421
DE422;2010;2090
DE423;2008;2877
DE423;2010;3578
DE424;2008;12202
DE424;2010;12591
DE425;2008;4777
DE425;2010;4446
DE426;2008;7742
DE426;2010;5360
DE427;2008;7753
DE427;2010;7020
DE428;2008;7052
DE428;2010;7372
DE429;2008;5582
DE429;2010;4987
DE42A;2008;12341
DE42A;2010;10766
DE501;2008;23652
DE501;2010;19163
DE501;2012;25411
DE501;2018;23647
DE502;2008;10867
DE502;2010;7005
DE502;2012;7959
DE502;2018;8470
DE600;2008;67683
DE600;2010;59617
DE600;2012;56232
DE600;2018;66169
DE711;2008;3057
DE711;2010;2814
DE711;2012;2465
DE711;2018;3048
DE712;2008;18126
DE712;2010;19735
DE712;2012;17838
DE712;2018;19235
DE713;2008;1926
DE713;2010;1772
DE713;2012;1663
DE713;2018;1912
DE714;2008;7194
DE714;2010;6915
DE714;2012;6437
DE714;2018;7760
DE715;2008;6635
DE715;2010;5909
DE715;2012;6836
DE715;2018;6418
DE716;2008;5728
DE716;2010;7134
DE716;2012;6134
DE716;2018;7000
DE717;2008;9433
DE717;2010;10134
DE717;2012;12083
DE717;2018;12076
DE718;2008;3416
DE718;2010;4106
DE718;2012;2896
DE718;2018;3552
DE719;2008;10140
DE719;2010;8460
DE719;2012;9623
DE719;2018;9024
DE71A;2008;5041
DE71A;2010;4897
DE71A;2012;4977
DE71A;2018;4696
DE71B;2008;1270
DE71B;2010;1209
DE71B;2012;1589
DE71B;2018;1248
DE71C;2008;6423
DE71C;2010;7560
DE71C;2012;6070
DE71C;2018;8397
DE71D;2008;1910
DE71D;2010;2136
DE71D;2012;1980
DE71D;2018;2206
DE71E;2008;8716
DE71E;2010;9280
DE71E;2012;6527
DE71E;2018;8706
DE721;2008;8255
DE721;2010;7927
DE721;2012;7870
DE721;2018;8999
DE722;2008;10142
DE722;2010;7619
DE722;2012;8146
DE722;2018;9181
DE723;2008;4597
DE723;2010;5083
DE723;2012;4475
DE723;2018;6662
DE724;2008;8453
DE724;2010;6698
DE724;2012;7507
DE724;2018;8262
DE725;2008;4703
DE725;2010;4470
DE725;2012;4833
DE725;2018;5203
DE731;2008;6837
DE731;2010;6534
DE731;2012;6341
DE731;2018;6636
DE732;2008;13244
DE732;2010;11887
DE732;2012;12732
DE732;2018;11998
DE733;2008;8181
DE733;2010;9540
DE733;2012;9318
DE733;2018;10875
DE734;2008;6988
DE734;2010;6608
DE734;2012;7131
DE734;2018;7751
DE735;2008;10208
DE735;2010;10293
DE735;2012;9869
DE735;2018;9955
DE736;2008;6542
DE736;2010;5639
DE736;2012;5889
DE736;2018;5955
DE737;2008;3725
DE737;2010;3472
DE737;2012;3417
DE737;2018;4724
DE801;2008;1028
DE801;2010;959
DE801;2012;913
DE802;2008;1758
DE802;2010;1336
DE802;2012;1648
DE803;2008;7650
DE803;2010;8034
DE803;2012;8310
DE803;2018;10018
DE804;2008;1787
DE804;2010;1660
DE804;2012;2175
DE804;2018;1984
DE805;2008;1662
DE805;2010;1566
DE805;2012;1237
DE806;2008;3073
DE806;2010;2347
DE806;2012;3369
DE807;2008;4083
DE807;2010;3226
DE807;2012;4358
DE808;2008;5571
DE808;2010;6034
DE808;2012;6151
DE809;2008;5071
DE809;2010;3760
