nuts3;year;pop_tot
BG31;2020;728157
BG31;2021;720172
BG31;2022;702773
BG311;2014;95467
BG311;2015;93361
BG311;2016;91235
BG311;2017;88867
BG311;2018;86927
BG311;2019;84865
BG311;2020;82835
BG311;2021;81212
BG311;2022;78814
BG312;2014;141596
BG312;2015;139350
BG312;2016;137188
BG312;2017;134669
BG312;2018;132214
BG312;2019;129637
BG312;2020;127001
BG312;2021;125395
BG312;2022;122179
BG313;2014;178395
BG313;2015;175169
BG313;2016;172007
BG313;2017;168727
BG313;2018;165645
BG313;2019;162549
BG313;2020;159470
BG313;2021;157637
BG313;2022;153700
BG314;2014;259363
BG314;2015;255749
BG314;2016;251986
BG314;2017;248138
BG314;2018;244209
BG314;2019;240380
BG314;2020;236305
BG314;2021;233438
BG314;2022;228300
BG315;2014;135580
BG315;2015;133513
BG315;2016;131493
BG315;2017;129222
BG315;2018;126961
BG315;2019;124873
BG315;2020;122546
BG315;2021;122490
BG315;2022;119780
BG32;2014;835813
BG32;2015;825536
BG32;2016;815441
BG32;2017;805441
BG32;2018;794998
BG32;2019;784168
BG32;2020;773450
BG32;2021;764897
BG32;2022;750795
BG321;2014;251126
BG321;2015;247782
BG321;2016;245006
BG321;2017;242259
BG321;2018;239132
BG321;2019;235708
BG321;2020;232568
BG321;2021;229718
BG321;2022;225674
BG322;2014;118271
BG322;2015;116351
BG322;2016;114272
BG322;2017;112334
BG322;2018;110254
BG322;2019;108404
BG322;2020;106598
BG322;2021;105788
BG322;2022;103404
BG323;2014;229784
BG323;2015;227685
BG323;2016;225674
BG323;2017;223489
BG323;2018;221336
BG323;2019;218556
BG323;2020;215477
BG323;2021;212729
BG323;2022;209084
BG324;2014;120594
BG324;2015;119048
BG324;2016;117241
BG324;2017;115402
BG324;2018;113714
BG324;2019;112229
BG324;2020;110789
BG324;2021;109810
BG324;2022;107764
BG325;2014;116038
BG325;2015;114670
BG325;2016;113248
BG325;2017;111957
BG325;2018;110562
BG325;2019;109271
BG325;2020;108018
BG325;2021;106852
BG325;2022;104869
BG33;2014;954536
BG33;2015;949957
BG33;2016;944458
BG33;2017;939262
BG33;2018;933705
BG33;2019;929035
BG33;2020;924870
BG33;2021;922230
BG33;2022;913468
BG331;2014;474076
BG331;2015;473804
BG331;2016;472926
BG331;2017;472654
BG331;2018;472120
BG331;2019;471252
BG331;2020;469885
BG331;2021;470124
BG331;2022;468614
BG332;2014;184680
BG332;2015;182808
BG332;2016;180601
BG332;2017;178438
BG332;2018;176145
BG332;2019;173831
BG332;2020;171809
BG332;2021;170298
BG332;2022;167314
BG333;2014;178061
BG333;2015;176925
BG333;2016;175720
BG333;2017;174476
BG333;2018;172966
BG333;2019;172355
BG333;2020;172262
BG333;2021;171781
BG333;2022;169423
BG334;2014;117719
BG334;2015;116420
BG334;2016;115211
BG334;2017;113694
BG334;2018;112474
BG334;2019;111597
BG334;2020;110914
BG334;2021;110027
BG334;2022;108117
BG34;2014;1063690
BG34;2015;1058515
BG34;2016;1052575
BG34;2017;1046125
BG34;2018;1039549
BG34;2019;1032079
BG34;2020;1024115
BG34;2021;1020187
BG34;2022;1010263
BG341;2014;414485
BG341;2015;414184
BG341;2016;413884
BG341;2017;412684
BG341;2018;411579
BG341;2019;410331
BG341;2020;409265
BG341;2021;409750
BG341;2022;408704
BG342;2014;193925
BG342;2015;192644
BG342;2016;191185
BG342;2017;189788
BG342;2018;188433
BG342;2019;186495
BG342;2020;184119
BG342;2021;182551
BG342;2022;180058
BG343;2014;127176
BG343;2015;125724
BG343;2016;123821
BG343;2017;122276
BG343;2018;120470
BG343;2019;118897
